Headline, Href
"85. Maximal Rectangle","/problems/maximal-rectangle/?envType=daily-question&envId=2024-04-13"
"1. Two Sum","/problems/two-sum"
"2. Add Two Numbers","/problems/add-two-numbers"
"3. Longest Substring Without Repeating Characters","/problems/longest-substring-without-repeating-characters"
"4. Median of Two Sorted Arrays","/problems/median-of-two-sorted-arrays"
"5. Longest Palindromic Substring","/problems/longest-palindromic-substring"
"6. Zigzag Conversion","/problems/zigzag-conversion"
"7. Reverse Integer","/problems/reverse-integer"
"8. String to Integer (atoi)","/problems/string-to-integer-atoi"
"9. Palindrome Number","/problems/palindrome-number"
"10. Regular Expression Matching","/problems/regular-expression-matching"
"11. Container With Most Water","/problems/container-with-most-water"
"12. Integer to Roman","/problems/integer-to-roman"
"13. Roman to Integer","/problems/roman-to-integer"
"14. Longest Common Prefix","/problems/longest-common-prefix"
"15. 3Sum","/problems/3sum"
"16. 3Sum Closest","/problems/3sum-closest"
"17. Letter Combinations of a Phone Number","/problems/letter-combinations-of-a-phone-number"
"18. 4Sum","/problems/4sum"
"19. Remove Nth Node From End of List","/problems/remove-nth-node-from-end-of-list"
"20. Valid Parentheses","/problems/valid-parentheses"
"21. Merge Two Sorted Lists","/problems/merge-two-sorted-lists"
"22. Generate Parentheses","/problems/generate-parentheses"
"23. Merge k Sorted Lists","/problems/merge-k-sorted-lists"
"24. Swap Nodes in Pairs","/problems/swap-nodes-in-pairs"
"25. Reverse Nodes in k-Group","/problems/reverse-nodes-in-k-group"
"26. Remove Duplicates from Sorted Array","/problems/remove-duplicates-from-sorted-array"
"27. Remove Element","/problems/remove-element"
"28. Find the Index of the First Occurrence in a String","/problems/find-the-index-of-the-first-occurrence-in-a-string"
"29. Divide Two Integers","/problems/divide-two-integers"
"30. Substring with Concatenation of All Words","/problems/substring-with-concatenation-of-all-words"
"31. Next Permutation","/problems/next-permutation"
"32. Longest Valid Parentheses","/problems/longest-valid-parentheses"
"33. Search in Rotated Sorted Array","/problems/search-in-rotated-sorted-array"
"34. Find First and Last Position of Element in Sorted Array","/problems/find-first-and-last-position-of-element-in-sorted-array"
"35. Search Insert Position","/problems/search-insert-position"
"36. Valid Sudoku","/problems/valid-sudoku"
"37. Sudoku Solver","/problems/sudoku-solver"
"38. Count and Say","/problems/count-and-say"
"39. Combination Sum","/problems/combination-sum"
"40. Combination Sum II","/problems/combination-sum-ii"
"41. First Missing Positive","/problems/first-missing-positive"
"42. Trapping Rain Water","/problems/trapping-rain-water"
"43. Multiply Strings","/problems/multiply-strings"
"44. Wildcard Matching","/problems/wildcard-matching"
"45. Jump Game II","/problems/jump-game-ii"
"46. Permutations","/problems/permutations"
"47. Permutations II","/problems/permutations-ii"
"48. Rotate Image","/problems/rotate-image"
"49. Group Anagrams","/problems/group-anagrams"
"50. Pow(x, n)","/problems/powx-n"
